epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2297,1.14303,3.24339,1.54162,0.00465,0.97778,0.34869,0.26313,0.77135,3.01326,1.6465,4.287e-05,4.287e-05,4.287e-05
2,20.2991,0.98734,3.1796,1.41627,0.00841,0.97778,0.27081,0.1817,0.71451,3.02024,1.50474,9.9865e-05,9.9865e-05,9.9865e-05
3,23.1674,0.87022,3.07488,1.33754,0.01795,0.97778,0.51462,0.42619,0.69294,2.99785,1.34623,0.000156671,0.000156671,0.000156671
4,26.1334,0.91124,2.91135,1.39705,0.02591,0.97778,0.62878,0.47439,0.66366,2.97549,1.35756,0.000213289,0.000213289,0.000213289
5,28.9482,0.91853,2.75212,1.39608,0.0267,0.97778,0.61452,0.47004,0.60713,2.8998,1.34127,0.000269718,0.000269718,0.000269718
6,31.8275,0.86635,2.44894,1.32143,0.02263,0.97778,0.61107,0.47814,0.63889,2.8584,1.3434,0.000325958,0.000325958,0.000325958
7,34.6051,0.95208,2.29734,1.36803,0.01513,0.97778,0.76931,0.49771,0.90843,2.77784,1.82588,0.00038201,0.00038201,0.00038201
8,37.438,0.8741,2.11197,1.33592,0.01248,0.97778,0.86223,0.64961,0.68691,2.6737,1.42091,0.000437873,0.000437873,0.000437873
9,40.1987,0.94201,1.93188,1.3769,0.01103,0.97778,0.86341,0.57962,1.01364,2.71636,1.89692,0.000493548,0.000493548,0.000493548
10,42.9262,0.90082,1.77419,1.34309,0.80301,0.54474,0.82897,0.52618,1.33546,2.49234,2.70033,0.000549034,0.000549034,0.000549034
11,46.5794,0.97562,1.7119,1.40511,0.92339,0.32416,0.85403,0.50061,1.43617,2.54833,2.93045,0.000604331,0.000604331,0.000604331
12,49.7702,0.9689,1.64255,1.37828,0.00777,0.97778,0.77902,0.4717,0.93763,2.61583,1.71246,0.00065944,0.00065944,0.00065944
13,52.5413,1.01116,1.64229,1.35012,0.47802,0.78778,0.77897,0.46701,1.15648,2.68615,2.11421,0.00071436,0.00071436,0.00071436
14,55.206,0.95691,1.59928,1.36071,0.00439,0.97778,0.54558,0.2301,1.54786,2.99233,2.93761,0.000769091,0.000769091,0.000769091
15,57.8619,0.94183,1.57224,1.36807,0.00485,0.95556,0.37061,0.15471,1.85067,2.94809,3.35801,0.000823634,0.000823634,0.000823634
16,60.5271,0.94428,1.60822,1.34791,0.36643,0.28912,0.49074,0.22718,1.7553,2.88171,3.11744,0.000877988,0.000877988,0.000877988
17,63.3058,0.85735,1.39812,1.292,0.73489,0.2619,0.61584,0.2438,1.92678,2.84086,4.49967,0.000932154,0.000932154,0.000932154
18,65.8875,0.89579,1.46701,1.31914,0.49201,0.30794,0.53241,0.2467,1.42397,2.9305,2.65288,0.000986131,0.000986131,0.000986131
19,68.6486,0.94605,1.43226,1.36511,0.81414,0.39123,0.72871,0.50649,0.82912,2.47895,1.73308,0.00103992,0.00103992,0.00103992
20,71.2281,0.93847,1.46727,1.33275,0.75433,0.3873,0.72859,0.49313,0.90755,2.42067,1.88514,0.00109352,0.00109352,0.00109352
21,73.8684,0.92991,1.4517,1.29018,0.40279,0.23715,0.4091,0.2554,1.22757,2.61631,2.0491,0.00114693,0.00114693,0.00114693
22,76.5117,0.98894,1.49955,1.39637,0.35321,0.08889,0.34199,0.20032,1.5736,2.82261,2.37509,0.00120015,0.00120015,0.00120015
23,79.1743,0.91421,1.40964,1.32232,0.1368,0.18632,0.14336,0.05349,1.98084,2.91346,3.06863,0.00125319,0.00125319,0.00125319
24,81.7609,0.92108,1.37964,1.31056,0.00196,0.38706,0.00414,0.00072,2.87953,4.04517,3.19376,0.00130603,0.00130603,0.00130603
25,84.3363,0.90981,1.37846,1.32445,0.01088,0.04444,0.07817,0.03453,1.37025,3.15896,2.06673,0.00135869,0.00135869,0.00135869
26,86.8861,0.992,1.36557,1.37196,0.24217,0.30441,0.23928,0.11428,1.3495,2.72462,2.14755,0.00137005,0.00137005,0.00137005
27,89.5247,1.01293,1.45269,1.371,0.19094,0.1514,0.15641,0.09497,3.03604,3.43209,3.69755,0.0013677,0.0013677,0.0013677
28,92.2704,1.01229,1.36909,1.36602,0.15465,0.22698,0.09653,0.05375,3.64936,4.06651,4.51358,0.00136534,0.00136534,0.00136534
29,95.4487,0.98569,1.40147,1.36952,0.46347,0.36581,0.22684,0.08642,2.28374,3.17678,3.69445,0.00136298,0.00136298,0.00136298
30,98.4559,0.9292,1.31364,1.35423,0.61227,0.25641,0.35791,0.12333,2.34459,2.69013,3.98251,0.00136062,0.00136062,0.00136062
31,101.18,0.97599,1.30241,1.33454,0.35964,0.23077,0.0282,0.00786,2.20476,3.56277,3.33015,0.00135826,0.00135826,0.00135826
32,103.767,0.95186,1.23977,1.34402,0.06724,0.53053,0.16125,0.02983,2.10889,3.59424,3.31372,0.00135591,0.00135591,0.00135591
33,106.302,0.87773,1.22201,1.29381,0.31947,0.09152,0.14064,0.0219,2.82292,3.47322,3.81966,0.00135355,0.00135355,0.00135355
34,108.939,0.8775,1.17037,1.29232,0.39608,0.23748,0.27909,0.06507,2.53439,3.21312,3.2416,0.00135119,0.00135119,0.00135119
35,111.584,0.9927,1.28265,1.36861,0.24614,0.30085,0.2736,0.10158,2.2925,2.65668,3.05405,0.00134883,0.00134883,0.00134883
36,115.065,0.95102,1.23913,1.3234,0.61975,0.24444,0.28574,0.08102,2.64509,2.60614,3.65023,0.00134648,0.00134648,0.00134648
37,119.202,0.94192,1.25369,1.33098,0.4612,0.40142,0.40396,0.12489,2.36429,2.59409,3.28957,0.00134412,0.00134412,0.00134412
38,122.892,0.87386,1.18029,1.2654,0.73354,0.47576,0.45905,0.16853,2.12901,2.51779,2.89382,0.00134176,0.00134176,0.00134176
39,125.662,0.95541,1.14924,1.32849,0.67942,0.45726,0.39908,0.18213,1.60578,2.50042,2.50789,0.0013394,0.0013394,0.0013394
40,128.272,0.95779,1.1503,1.33774,0.77539,0.5525,0.4627,0.22416,1.57186,2.254,2.66518,0.00133704,0.00133704,0.00133704
41,130.87,0.95312,1.14426,1.32277,0.85298,0.62721,0.61608,0.34924,1.22741,1.76245,2.17078,0.00133469,0.00133469,0.00133469
42,133.428,0.92352,1.16038,1.35568,0.72502,0.52374,0.56272,0.28247,1.51782,2.18135,2.2858,0.00133233,0.00133233,0.00133233
43,136.028,0.96882,1.19548,1.32342,0.47504,0.66472,0.6142,0.40857,0.96162,2.01344,1.66621,0.00132997,0.00132997,0.00132997
44,138.645,0.92244,1.2089,1.31758,0.7627,0.53175,0.59185,0.40232,1.09634,2.06249,1.83803,0.00132761,0.00132761,0.00132761
45,141.291,0.89194,1.0808,1.27843,0.99688,0.33333,0.48907,0.31445,1.2317,2.51562,1.9565,0.00132525,0.00132525,0.00132525
46,143.938,0.90421,1.12497,1.28527,0.33734,0.39306,0.49262,0.26732,1.33578,2.53691,2.09362,0.0013229,0.0013229,0.0013229
47,146.578,0.9077,1.09078,1.29288,0.67384,0.55871,0.37109,0.21819,1.48389,2.26477,2.18985,0.00132054,0.00132054,0.00132054
48,149.224,0.85412,1.03222,1.26253,0.25989,0.56105,0.44844,0.27295,1.2452,2.18344,2.10117,0.00131818,0.00131818,0.00131818
